o:id,url,dcterms:identifier,o:resource_class,o:title,dcterms:description,dcterms:creator,dcterms:date,dcterms:replaces,dcterms:isReplacedBy,dcterms:spatial,dcterms:language,dcterms:rights,dcterms:rightsHolder,dcterms:source,dcterms:contributor
2218,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2218,iwac-collection-0000041,o:ItemSet,Al Maoulid Magazine,"""Périodique islamique d'information et de réflexion paraissant à l'occasion des fêtes du Maoulid à Kiota""",,2006-04-10/2010-02-26,,,Niger,Français,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Abdoulaye Sounaye,Frédérick Madore
2219,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2219,iwac-collection-0000042,o:ItemSet,Al Maoulid Magazine (arabe),"Version arabe du ""Périodique islamique d'information et de réflexion paraissant à l'occasion des fêtes du Maoulid à Kiota""",,2008/2010,,,Niger,Arabe,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Abdoulaye Sounaye,Frédérick Madore
2220,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2220,iwac-collection-0000043,o:ItemSet,Photographies (Niger),Photographies (Niger),Frédérick Madore,,,,Niger,,In Copyright - Educational Use Permitted,,,
2222,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2222,iwac-collection-0000044,o:ItemSet,Références (Niger),"Livres, chapitres de livre, comptes rendus de livres, articles de revue, thèses, mémoires et rapports sur l'islam au Niger",,,,,Niger,Allemand|Anglais|Français,In Copyright - Educational Use Permitted,,,Frédérick Madore|Vincent Favier
2223,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2223,iwac-collection-0000045,o:ItemSet,Al Maoulid Info,"""Bimensuel islamique satirique d'information et de réflexion""",,2007-06-19/2008-12,,,Niger,Français,In Copyright - Rights-Holder(s) Unlocatable or Unidentifiable,,Abdoulaye Sounaye,Frédérick Madore
2225,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2225,iwac-collection-0000046,o:ItemSet,Références (Nigéria),"Livres, chapitres de livre, comptes rendus de livres, articles de revue, thèses, mémoires et rapports sur l'islam au Nigeria",,,,,Nigéria,Anglais|Français,In Copyright - Educational Use Permitted,,,Frédérick Madore|Vincent Favier
2226,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2226,iwac-collection-0000047,o:ItemSet,Le Pacific,Trimestriel d'informations et de sensibilisation,,2015/2018,,,Togo,Français,In Copyright - Educational Use Permitted,Moitapari Kouko,Moitapari Kouko,Frédérick Madore
2227,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2227,iwac-collection-0000048,o:ItemSet,Photographies (Togo),Photographies sur l'islam et les musulmans au Togo,Frédérick Madore,,,,Togo,,In Copyright - Educational Use Permitted,,,
2228,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/2228,iwac-collection-0000049,o:ItemSet,Références (Togo),"Livres, chapitres de livre, articles de revue, thèses et mémoires sur l'islam au Togo",,,,,Togo,Allemand|Anglais|Espagnol|Français,In Copyright - Educational Use Permitted,,,Frédérick Madore
4922,https://iwac.frederickmadore.com/s/afrique_ouest/item-set/4922,iwac-collection-0000050,o:ItemSet,La Nouvelle Tribune,Métadonnées d'articles provenant du journal La Nouvelle Tribune (2011-2023),,2011/2023,,,Bénin,Français,In Copyright,,,Frédérick Madore
